title,price,rating,image
Bulova Men's Watch,$150.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/81UvfpFdY4S._AC_UL320_.jpg
Fossil Men's Coachman Quartz Stainless Steel and Leather Casual Cuff Watch,$87.72,4.7 out of 5 stars,https://m.media-amazon.com/images/I/615Od5QiCmL._AC_UL320_.jpg
Casio Men's G-Shock DW6900-1V Sport Watch,$58.35,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81iNm6mx44L._AC_UL320_.jpg
"Citizen Quartz Mens Watch, Stainless Steel, Classic, Two-Tone (Model: AN3394-59L)",$104.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/91KXIR4LAmL._AC_UL320_.jpg
Seiko 5 Men's Stainless Steel Watch,$92.98,4.4 out of 5 stars,https://m.media-amazon.com/images/I/616g3HenkfL._AC_UL320_.jpg
"Invicta Men's Pro Diver Quartz Watch with Stainless Steel Strap, Two Tone, 22 (Model: 30021)",$42.80,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81ZMHrwBIkL._AC_UL320_.jpg
Fossil Men's Garrett Stainless Steel Quartz Dress Chronograph Watch,$81.29,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81yOhwa5+VL._AC_UL320_.jpg
Casio,$15.79,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61nwVtAMiCL._AC_UL320_.jpg
"Bulova Precisionist Men's Watch, Stainless Steel with Black Silicone Strap, Two-Tone (Model: 98B152)",$356.27,4.7 out of 5 stars,https://m.media-amazon.com/images/I/71cHCpjKe8L._AC_UL320_.jpg
"Citizen Quartz Mens Watch, Stainless Steel, Classic, Silver-Tone (Model: BF0580-57L)",$73.49,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81YJMXUexJL._AC_UL320_.jpg
Michael Kors Theroux Chronograph Stainless Watch,$135.99,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81lHMShYK9L._AC_UL320_.jpg
Citizen Watches BM8240-03E Eco-Drive Leather Watch,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81NTCi8BXFL._AC_UL320_.jpg
Fossil Men's Machine Stainless Steel Case Quartz Chronograph Watch,$80.31,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81GB3ZHIiUL._AC_UL320_.jpg
"Bulova Classic Quartz Men's Watch, Stainless Steel, Silver-Tone",$149.25,4.7 out of 5 stars,https://m.media-amazon.com/images/I/710jKQl3F8L._AC_UL320_.jpg
Men Watch Luxury Dress Automatic Mechanical Wristwatch with Waterproof-100FT Synthetic Sapphire Stainless Steel Luminous Moon Phase Year Calendar/Date Two Tone,$156.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/713X8OamtmL._AC_UL320_.jpg
MEGALITH Mens Chronograph Watches Stainless Steel Man Waterproof Watch Luminous Gent Wristwatches for Men Fashion Business Classic Analog Quartz Date Watches,$43.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/719D+JT0XRL._AC_UL320_.jpg
